Date,Open,High,Low,Close,Volume,Market Cap
12-01-2018,0.004993,0.006264,0.004846,0.00585,2163,437670
12-01-2018,0.014845,0.016087,0.014408,0.015741,75,92688
12-01-2018,1.42,1.62,1.39,1.5,12593,759513
13-01-2018,0.005844,0.0065,0.005429,0.006458,677,512224
13-01-2018,0.015723,0.016945,0.015723,0.016648,79,98169
13-01-2018,1.5,1.66,1.46,1.52,16913,802174
14-01-2018,0.006462,0.011389,0.006279,0.010342,33731,566451
14-01-2018,0.016659,0.017122,0.015788,0.016547,93,104014
14-01-2018,1.52,1.63,1.38,1.53,23611,813398
15-01-2018,0.010541,0.0113,0.0064,0.008598,2757,923918
15-01-2018,0.016427,0.018687,0.016339,0.018152,326,102567
15-01-2018,1.52,1.59,1.39,1.4,8650,814846
16-01-2018,0.008609,0.008609,0.006113,0.007462,1325,754608
16-01-2018,0.018175,0.018175,0.012561,0.015613,147,113479
16-01-2018,1.4,1.48,1.12,1.26,7837,750830
17-01-2018,0.007424,0.007614,0.005135,0.005437,1986,650770
17-01-2018,0.015534,0.015931,0.011169,0.01154,37,96992
17-01-2018,1.26,1.55,0.866688,1.23,58724,673838
18-01-2018,0.005458,0.006701,0.004922,0.006382,2876,478427
18-01-2018,0.011028,0.013534,0.010593,0.011397,13,68856
18-01-2018,1.24,1.74,1.13,1.61,42725,663119
19-01-2018,0.006315,0.010467,0.005851,0.007813,13047,553532
19-01-2018,0.011277,0.016823,0.011198,0.016431,325,70411
19-01-2018,1.59,1.72,1.24,1.61,28918,852027
20-01-2018,0.007898,0.008862,0.007268,0.008678,411,692290
20-01-2018,0.016609,0.018186,0.014343,0.017739,6,103705
20-01-2018,1.63,1.79,1.63,1.78,32040,960604
21-01-2018,0.008698,0.008698,0.007192,0.007787,1437,762424
21-01-2018,0.01778,0.01778,0.012777,0.013055,16,111016
21-01-2018,1.39,1.65,1.31,1.34,4971,821568
22-01-2018,0.007893,0.008105,0.007695,0.008031,1482,691883
22-01-2018,0.013233,0.013587,0.0129,0.013464,17,82625
22-01-2018,1.36,1.55,1.36,1.5,4078,802662
23-01-2018,0.005044,0.005654,0.004772,0.004772,1405,442101
23-01-2018,0.01289,0.01308,0.012473,0.012473,5,80481
23-01-2018,1.49,1.51,1.19,1.27,8822,881425
24-01-2018,0.00477,0.006185,0.004666,0.006063,703,418062
24-01-2018,0.012466,0.013057,0.012115,0.012799,9,77834
24-01-2018,1.27,1.37,1.23,1.35,11342,749095
25-01-2018,0.006162,0.006966,0.00345,0.003469,2758,540155
25-01-2018,0.01301,0.016332,0.012814,0.016114,110,81230
25-01-2018,1.37,1.4,1.28,1.31,6524,808991
26-01-2018,0.00346,0.005522,0.003455,0.004453,2141,303254
26-01-2018,0.016071,0.01673,0.01202,0.016032,113,100344
26-01-2018,1.31,1.49,1.24,1.31,3832,772632
27-01-2018,0.004784,0.005334,0.004462,0.005225,281,419336
27-01-2018,0.016021,0.016203,0.011338,0.0117,98,100032
27-01-2018,1.31,1.47,1.28,1.33,4386,770955
28-01-2018,0.005252,0.006163,0.0036,0.005573,2558,460345
28-01-2018,0.01176,0.016384,0.01176,0.015907,41,73426
28-01-2018,1.34,1.51,1.34,1.36,5489,791357
29-01-2018,0.005568,0.005704,0.003409,0.004031,683,488046
29-01-2018,0.015892,0.016098,0.011768,0.01198,60,99226
29-01-2018,1.36,1.45,1.18,1.43,17892,804498
30-01-2018,0.004032,0.004542,0.003639,0.0037,223,353409
30-01-2018,0.011984,0.02468,0.010505,0.016002,3767,74825
30-01-2018,1.43,1.45,1.1,1.1,5104,846089
31-01-2018,0.003706,0.004927,0.003565,0.004566,143,324861
31-01-2018,0.016027,0.022643,0.011951,0.01938,1624,100069
31-01-2018,1.1,1.23,1.06,1.12,6326,650163
01-02-2018,0.004577,0.004596,0.002938,0.003094,275,401161
01-02-2018,0.019425,0.019509,0.013097,0.016198,783,121290
01-02-2018,1.12,1.12,0.895718,0.944465,6051,660643
02-02-2018,0.003088,0.003095,0.002622,0.003003,302,270646
02-02-2018,0.016165,0.016165,0.008602,0.009009,318,100932
02-02-2018,0.942514,1.05,0.656875,1.04,6108,556791
03-02-2018,0.003013,0.003511,0.002788,0.003049,72,264127
03-02-2018,0.00904,0.012242,0.008365,0.011919,27,56444
03-02-2018,1.04,1.17,0.826778,1.14,3336,616237
04-02-2018,0.003051,0.003322,0.002695,0.00282,13,267396
04-02-2018,0.011925,0.012545,0.007054,0.012357,367,74459
04-02-2018,1.14,1.16,0.872239,0.91281,2965,676140
05-02-2018,0.002792,0.00285,0.0022,0.002287,30,244752
05-02-2018,0.012237,0.01249,0.009865,0.010259,182,76404
05-02-2018,0.903958,0.955025,0.636922,0.660793,4846,534014
06-02-2018,0.00229,0.002406,0.001959,0.002338,31,200752
06-02-2018,0.010272,0.010791,0.008788,0.010484,186,64135
06-02-2018,0.661628,0.954705,0.538857,0.945979,7316,390858
07-02-2018,0.936514,0.944663,0.691319,0.786961,4654,553246
08-02-2018,0.002856,0.002874,0.002742,0.002798,332,250342
08-02-2018,0.783814,0.946743,0.762663,0.905676,2921,463039
09-02-2018,0.002807,0.002829,0.002203,0.002257,459,246015
09-02-2018,0.007566,0.008284,0.007285,0.007467,77,47243
09-02-2018,0.908461,0.919167,0.817038,0.872856,202,536674
10-02-2018,0.002259,0.002821,0.002248,0.002396,17,198018
10-02-2018,0.007472,0.008374,0.007374,0.008129,10,46657
10-02-2018,0.873492,0.986741,0.833489,0.938708,1682,516017
11-02-2018,0.002394,0.003052,0.0022,0.002497,249,209835
11-02-2018,0.008122,0.008122,0.006757,0.007572,112,50714
11-02-2018,0.937905,0.937905,0.800348,0.805582,1923,554068
12-02-2018,0.002513,0.003057,0.002513,0.002753,69,220269
12-02-2018,0.00762,0.008303,0.007255,0.007549,137,47578
12-02-2018,0.810716,1.03,0.802011,1.02,4907,478931
13-02-2018,0.002758,0.003496,0.002605,0.003414,628,241768
13-02-2018,0.007563,0.008446,0.007133,0.007255,80,47222
13-02-2018,1.02,1.02,0.789037,0.793952,714,601582
14-02-2018,0.003404,0.004642,0.003323,0.003693,1275,298365
14-02-2018,0.007233,0.007966,0.007233,0.007901,4,45164
14-02-2018,0.791584,0.992754,0.791584,0.990261,2941,467629
15-02-2018,0.003695,0.004248,0.003653,0.003851,76,323899
15-02-2018,0.008514,0.008623,0.00842,0.008614,38,53161
15-02-2018,0.990798,1.05,0.915147,1.04,2094,585315
16-02-2018,0.003834,0.004193,0.002716,0.00418,733,336094
16-02-2018,0.008577,0.008732,0.008286,0.008666,85,53553
16-02-2018,1.04,1.06,0.937668,0.978801,84,613918
17-02-2018,0.004179,0.004293,0.002807,0.004092,211,366331
17-02-2018,0.008664,0.010791,0.008553,0.010728,2,54100
17-02-2018,0.978576,1.16,0.965984,1.15,40,578095
18-02-2018,0.004105,0.004175,0.002747,0.003548,751,359781
18-02-2018,0.010761,0.010944,0.009906,0.010123,3,67188
18-02-2018,1.16,1.18,0.837059,0.839025,2859,684186
19-02-2018,0.003532,0.003859,0.002665,0.00346,1061,309574
19-02-2018,0.010076,0.01092,0.010045,0.010826,20,62913
19-02-2018,0.835169,1.09,0.832592,0.898471,2809,493377
20-02-2018,0.003463,0.00356,0.002519,0.002695,480,303556
20-02-2018,0.010836,0.011277,0.010836,0.011153,1,67660
20-02-2018,0.899287,1.16,0.300997,1.11,6984,531255
21-02-2018,0.002692,0.002697,0.00226,0.002305,176,235958
21-02-2018,0.01195,0.01195,0.008715,0.008801,303,74613
21-02-2018,1.11,1.11,0.635045,1,2058,655526
22-02-2018,0.002303,0.002836,0.002276,0.002365,105,201832
22-02-2018,0.008792,0.009162,0.008287,0.008376,61,54895
22-02-2018,1,1.03,0.699671,0.720365,1357,591867
23-02-2018,0.002363,0.002892,0.002304,0.002641,455,207104
23-02-2018,0.008368,0.010218,0.008162,0.01016,62,52249
23-02-2018,0.719692,1.03,0.701929,0.729736,6569,425159
24-02-2018,0.002638,0.002743,0.002505,0.002719,116,231240
24-02-2018,0.010147,0.010498,0.008269,0.008545,96,63354
24-02-2018,0.728813,0.945902,0.689405,0.694666,1575,430547
25-02-2018,0.002715,0.002762,0.002388,0.002394,82,237968
25-02-2018,0.008533,0.010458,0.008394,0.01034,130,53276
25-02-2018,0.693613,0.781307,0.532918,0.583561,3999,409753
26-02-2018,0.002397,0.002791,0.002389,0.002673,74,210072
26-02-2018,0.010353,0.011039,0.009974,0.010899,41,64645
26-02-2018,0.584309,0.83306,0.582441,0.822452,1812,345181
27-02-2018,0.002681,0.002798,0.002631,0.002669,36,235000
27-02-2018,0.01093,0.011374,0.008842,0.009609,27,68247
27-02-2018,0.824829,0.865173,0.686694,0.753269,1158,487269
28-02-2018,0.002666,0.002869,0.002442,0.002474,195,233692
28-02-2018,0.009598,0.011053,0.009065,0.009073,40,59928
28-02-2018,0.752382,0.833384,0.647643,0.64822,1451,444470
01-03-2018,0.002478,0.002811,0.002469,0.002514,186,217204
01-03-2018,0.009086,0.012874,0.009015,0.01279,129,56731
01-03-2018,0.649175,0.887088,0.643761,0.876534,2838,383500
02-03-2018,0.002508,0.002565,0.002485,0.002503,179,219820
02-03-2018,0.012757,0.013045,0.010956,0.012578,107,79654
02-03-2018,0.874281,0.894029,0.687874,0.700698,4108,516482
03-03-2018,0.002712,0.00274,0.002483,0.002521,284,237688
03-03-2018,0.012562,0.012965,0.011426,0.011689,40,78436
03-03-2018,0.699841,0.894821,0.699841,0.892244,1407,413432
04-03-2018,0.002517,0.002519,0.00222,0.002416,359,220602
04-03-2018,0.011669,0.013232,0.01132,0.013232,2,72857
04-03-2018,0.890704,0.893076,0.716905,0.893076,2866,526184
05-03-2018,0.002414,0.002451,0.002398,0.002444,4,211638
05-03-2018,0.013222,0.01354,0.013132,0.013383,4,82558
05-03-2018,0.892423,0.942984,0.812336,0.818359,6843,527200
06-03-2018,0.002749,0.002755,0.002227,0.002254,4,240960
06-03-2018,0.013346,0.013346,0.011177,0.012343,52,83331
06-03-2018,0.816097,0.833813,0.698065,0.803977,936,482110
07-03-2018,0.002251,0.002285,0.001983,0.00208,8,197305
07-03-2018,0.012327,0.012512,0.010862,0.011093,1,76966
07-03-2018,0.802934,0.843705,0.709758,0.725117,74,474334
08-03-2018,0.002077,0.002354,0.001903,0.001964,29,182057
08-03-2018,0.011077,0.011304,0.01015,0.010755,9,69166
08-03-2018,0.724089,0.735149,0.630879,0.671145,32,427756
09-03-2018,0.001952,0.002047,0.001762,0.002036,49,171065
09-03-2018,0.010687,0.010814,0.008691,0.009256,209,66731
09-03-2018,0.666895,0.672119,0.545325,0.601619,367,393969
10-03-2018,0.002037,0.002237,0.00192,0.001937,6,178560
10-03-2018,0.00926,0.010233,0.007417,0.007485,856,57816
10-03-2018,0.601878,0.672766,0.600972,0.623879,630,355560
11-03-2018,0.001931,0.002432,0.001865,0.002394,169,169219
11-03-2018,0.008688,0.009871,0.008069,0.008521,57,54243
11-03-2018,0.621728,0.669565,0.545015,0.659109,2412,367286
12-03-2018,0.002386,0.002572,0.002291,0.002377,24,209148
12-03-2018,0.008494,0.009448,0.007402,0.00905,228,53038
